Model	Replicate	log-likelihood	AIC	chi-squared	theta	optimised_parameters
ancmig_adj_2	Round_1_Replicate_1	-25814.29	51642.58	1588979.48	578.29	1.9786,0.1694,0.4236,5.1505,1.8111,0.1331,0.6663
ancmig_adj_2	Round_1_Replicate_2	-38678.87	77371.74	51792364.65	757.92	0.446,0.3589,0.4632,1.6042,0.3343,0.1515,1.457
ancmig_adj_2	Round_1_Replicate_3	-19448.61	38911.22	172334.7	429.82	8.1477,0.1549,5.4322,0.3703,0.9217,4.103,0.2402
ancmig_adj_2	Round_1_Replicate_4	-12295.23	24604.46	73484.73	334.65	4.7009,7.6949,2.6505,0.316,1.0757,1.8568,0.3324
ancmig_adj_2	Round_1_Replicate_5	-34113.64	68241.28	17467048.04	703.88	0.3816,5.485,0.1744,3.6183,1.3508,0.5524,0.5388
ancmig_adj_2	Round_1_Replicate_6	-14003.62	28021.24	77763.77	749.45	2.2112,1.2468,1.1249,0.3091,0.1499,0.4276,0.2993
ancmig_adj_2	Round_1_Replicate_7	-31070.43	62154.86	2922453468.99	1263.51	0.1735,0.2148,3.2916,2.6572,3.759,4.5684,0.2009
ancmig_adj_2	Round_1_Replicate_8	-24990.41	49994.82	4304936.08	548.86	2.6032,0.4155,1.174,0.422,3.5617,0.1889,1.5355
ancmig_adj_2	Round_1_Replicate_9	-44451.57	88917.14	-2.1295459489e+22	590.41	0.2565,2.1907,0.4606,0.4039,0.6115,1.1987,5.2093
ancmig_adj_2	Round_1_Replicate_10	-43203.71	86421.42	90200748.49	306.0	4.318,6.0965,0.2763,6.3751,5.243,0.4181,1.7638
ancmig_adj_2	Round_2_Replicate_1	-17567.2	35148.4	397683.66	307.92	15.6893,7.3127,4.5766,0.1691,0.553,1.0531,0.2558
ancmig_adj_2	Round_2_Replicate_2	-31097.62	62209.24	520260026.94	412.58	2.036,2.4494,5.2731,0.106,3.0726,1.123,1.0591
ancmig_adj_2	Round_2_Replicate_3	-12137.15	24288.3	51852.2	262.71	1.9052,11.5924,4.3635,0.9009,0.4963,4.6413,0.5658
ancmig_adj_2	Round_2_Replicate_4	-13303.27	26620.54	122276.95	428.35	4.7108,4.8916,0.7653,0.6867,1.2722,1.3131,0.2128
ancmig_adj_2	Round_2_Replicate_5	-12890.84	25795.68	44857.04	583.35	5.112,2.1224,0.6971,0.3836,1.25,0.6698,0.217
ancmig_adj_2	Round_2_Replicate_6	-15656.28	31326.56	256480.77	261.33	5.2307,26.8535,2.0236,0.583,4.2514,3.0657,1.1756
ancmig_adj_2	Round_2_Replicate_7	-15584.93	31183.86	250015.55	390.34	10.3258,22.5144,1.9214,0.1792,0.4603,0.7635,0.122
ancmig_adj_2	Round_2_Replicate_8	-14287.95	28589.9	151155.44	556.21	1.6072,3.4918,5.6617,0.3171,0.3423,0.9012,0.134
ancmig_adj_2	Round_2_Replicate_9	-15481.38	30976.76	175700.19	459.35	5.0474,2.9489,5.7556,0.1985,1.1334,0.562,0.3524
ancmig_adj_2	Round_2_Replicate_10	-13257.44	26528.88	61049.51	554.02	1.2405,26.7715,3.7811,0.1737,0.9807,0.6438,0.1514
ancmig_adj_2	Round_3_Replicate_1	-18910.17	37834.34	470626.02	382.81	1.0251,17.9568,2.8267,0.5578,0.4031,2.922,0.9493
ancmig_adj_2	Round_3_Replicate_2	-13700.32	27414.64	154566.87	283.02	1.8344,13.2103,3.2063,1.5033,0.4391,3.1884,0.4742
ancmig_adj_2	Round_3_Replicate_3	-11685.23	23384.46	43702.47	280.78	1.6111,7.4673,2.6258,0.7279,0.3856,7.5262,0.3416
ancmig_adj_2	Round_3_Replicate_4	-11519.87	23053.74	46102.93	219.28	2.435,15.3329,3.0831,0.9168,0.3481,7.6417,0.694
ancmig_adj_2	Round_3_Replicate_5	-13048.15	26110.3	61619.98	277.81	1.1981,11.7733,2.5319,1.2328,0.5966,9.3689,0.6514
ancmig_adj_2	Round_3_Replicate_6	-13807.92	27629.84	101654.59	212.64	2.554,7.7718,5.0307,0.6001,0.2793,10.0768,0.9772
ancmig_adj_2	Round_3_Replicate_7	-12683.82	25381.64	172977.28	275.51	1.5228,10.5827,2.8812,1.5589,0.9898,6.3041,0.4099
ancmig_adj_2	Round_3_Replicate_8	-14486.64	28987.28	91472.85	294.4	1.0005,10.8858,2.8604,1.1311,0.4202,6.5588,0.5643
ancmig_adj_2	Round_3_Replicate_9	-14572.05	29158.1	96669.87	318.67	1.1058,11.3859,4.2859,0.6055,0.3825,3.6216,0.4711
ancmig_adj_2	Round_3_Replicate_10	-10604.84	21223.68	32111.02	255.63	2.2343,9.4771,3.103,0.8021,0.6591,6.9702,0.5677
ancmig_adj_2	Round_3_Replicate_11	-16302.2	32618.4	1113766.69	319.92	1.3281,6.4473,6.9685,1.82,0.6762,2.4449,0.4539
ancmig_adj_2	Round_3_Replicate_12	-15766.81	31547.62	166686.2	306.82	1.178,15.356,2.8359,0.7408,0.407,5.6715,0.8823
ancmig_adj_2	Round_3_Replicate_13	-14114.32	28242.64	82012.31	319.62	1.0695,6.8696,2.8897,0.5946,0.3257,7.499,0.5184
ancmig_adj_2	Round_3_Replicate_14	-12948.7	25911.4	58037.8	193.42	1.5833,20.1789,4.333,0.5743,0.2772,9.1858,0.3543
ancmig_adj_2	Round_3_Replicate_15	-14083.03	28180.06	84499.55	277.2	1.1664,6.8447,6.5245,1.1347,0.567,6.6209,0.5427
